"альбом ","название песни","текст"
"Гранатовый альбом, 1998","Катись, колесо","Те же знакомые люди,
Все те же портреты на фоне
А мне хочется новых прелюдий,
Хочется новых симфоний
Хочется выпить по 200
С любым случайным прохожим,
А в сводках последних известий
Те же знакомые рожи

А ты катись колесо, катись колесо,
Катись отсюда, катись колесо
Катись отсюда и все

Знать бы, кто выдумал ноты
Отыскать и набить ему морду
Что выдумал мало созвучий,
Выдумал мало аккордов
Так мало кто-то балует
Так мало, стрельба или драки,
Ты закрой окошко мне дует
Сам закрой , motherfucker

А ты катись колесо, катись колесо,
Катись отсюда, катись колесо
Катись отсюда и все

Диггер ты или ниггер
Тинэйджер ты или пэйджер
Рэйвер ты или плеер
Мне давным-давно параллельно
Мне все по-по-барабану, мне все по-по-пистолету
Мне достаточно полстакана
А тебе - одной таблетки

А ты катись колесо, катись колесо,
Катись отсюда, катись колесо
Катись отсюда и все"
"Гранатовый альбом, 1998","Выхода нет","Сколько лет прошло, все о том же поют провода
Все того же ждут самолеты 
Девочка с глазами из самого синего льда
Тает под огнем пулемета
Должен же расстаить хоть кто-то

Скоро рассвет, выхода нет,
Ключ поверни и полетели,
Нужно писать в чью-то тетрадь
Кровью, как в метрополетене
Выхода нет, выхода нет

Где-то мы расстались, не помню,
В каких городах,
Словно это было в похмелье
Через мои песни идут и идут поезда,
Исчезая в темном тоннеле
Лишь бы мы проснулись в одной постели

Скоро рассвет, выхода нет,
Ключ поверни и полетели,
Нужно писать в чью-то тетрадь
Кровью, как в метрополетене
Выхода нет, выхода нет

Сколько лет пройдет, все о том же гудеть проводам,
Все того же ждать самолетам
Девочка с глазами из самого синего льда
Тает под огнем пулемета
Лишь бы мы проснулись с тобой в одной постели"
"Гранатовый альбом, 1998","Коктейли третьей мировой","Нам осталось по чуть-чуть
Самых разных вин
Ты ведь будешь пить со мной
Я не пью один

Ночью хорошо вдвоем в постели
Пить Третьей мировой войны коктейли

Спрятан твой запретный плод где то далеко
Хочешь принесу тебе
Виски с молоком?

Ночью хорошо вдвоем в постели
Пить Третьей мировой войны коктейли
Коктейли третьей мировой

Полицейские огни -
Видимо не глюк
Ты не бойся если вдруг
В дверь раздасться стук

Ночью хорошо вдвоем в постели
Пить Третьей мировой войны коктейли
Коктейли третьей мировой"
"Гранатовый альбом, 1998","Джим","Дай, Джим, на счастье лапу мне,
Пока фонарь горит в моем окне,
Пока мой кофе не совсем готов,
Пока соседи вызовут ментов

Дай, Джим...

Дай, Джим, на счастье лапу мне,
Все времена остались в стороне,
И часовые на своих постах
Забили стрелки на моих часах

Дай, Джим...

Дай, Джим, на лапу счастье мне,
Любовь не может двигаться в цене,
Любовь всегда одна, ни выстрела, ни вздоха,
Любовь - это когда хорошим людям плохо

Дай, Джим...
Любовь - это когда хорошим людям плохо

Ты просто вышли мне наколку,
Если не с кем выпить виски с колой,
Если не с кем снять двух девок на ночь,
Не с кем спеть под утро пьяным
Времени совсем в обрез,
А ты опять спешишь на Пер-Лашез

Дай, Джим..."
"Гранатовый альбом, 1998","Мария и Хуана","В огне твоих расширеных зрачков
Исчезнут города и океаны
Из темноты глядят на нас
Глаза Марии и глаза Хуаны

Придуманные люди за окном
Диктуют нам последние страницы
Все ночи напролет глаза
Марии и Хуаны будут сниться

Ветер гонит снежный ком
Ветер гонит снежный ком
Ветер гонит снежный ком
Несет над городами и домами
Они идут по жизни босиком
Идут по жизни босиком
Идут по жизни босиком
Трясут пустыми рукавами

На белом поле не заметен снег
На черном не заметны наши тени
Всего две линии вперед
Две линии вперед и мы у цели

В огне твоих расширеных зрачков
Исчезнут города и океаны
Из темноты глядят на нас
Глаза Марии и глаза Хуаны

Прощай Мария, прощай Хуана.
Прощай Мария, прощай Хуана."
"Гранатовый альбом, 1998","Подводная лодка","Я пил очень долго воду с парами бензина
Я видел глаза в кислоте.
Я стал веселей после полбутылки джина
И стал на последней черте.
И волны плескались на уровне крыши
И белая пена неслась
Ты можешь кричать, но никто не услышит
Никто не хочет, чтобы ты спаслась

Подводная лодка в степях Украины
Уходит под воду и ей не помочь
Никто не приедет снимать нас со льдины
И вряд ли мы сможем прожить эту ночь

Ты слышишь шаги – это бродит по палубе осень
Вот по лестнице вниз кувырком
А может быть взять да все к черту и бросить
Уйти по воде босиком
А ты испугалась за медь и за злато
И всю ночь рисовала круги
А я стал похож на шального пирата
Без глаза и без ноги

Подводная лодка в степях Украины
Уходит под воду и ей не помочь
Никто не приедет снимать нас со льдины
И вряд ли мы сможем прожить эту ночь "
"Альтависта, 1999","Альтависта","В одном из домов остыл кофе, молчит сигарета
И те кто придут узнать что нас нет простят нас за это
В этом году такое жаркое лето

Там наверху тихо течет раскаленная крыша
Окна открыты 
На коврике мышка спит
Будет гроза - молнии ждут сигнала контррбандиста
На глубине прорвется сквозь сеть твоя Altavista 

И ты сыграешь Азбуку Морзе
Симфонию Глюка 
на клавиатуре 
Так что навсегда уходя
Так что навсегда уходящее солнце замрет
В этом жарком июле 

Altavista ...
Altavista ... 
Altavista ... "
"Альтависта, 1999","Молоко и мёд","Я помню только комнату и стол
И желтый свет над ним
Я помню, как разбился на куски
Твой глиняный кувшин
Не спеши 

Нам остается сделать ход
На линию вперед,
И нам помогут молоко и мед
Молоко и мед 

От неба до последних этажей
Совсем подать рукой 
Тебе давным давно пора забыть
О том , кто я такой 
Но постой 

Ты не бросай стихи в огонь,
Огонь их не возьмет,
Тебя согреют молоко и мед.
Молоко и мед 

Я помню только комнату и стол,
И кисть дрожит в руке 
Как будто я опять забыл зажечь
Фонарь на маяке
Вдалеке 

Уже сигналят корабли
Весна растопит лед
И к нам вернутся молоко и мед
И нас согреют молоко и мед
И нам помогут молоко и мед
Молоко и мед"
"Альтависта, 1999","Пил-курил","Разрезан на осколки,
Разбит на лоскуты,
Не пью и не курю
До наступленья темноты-

Лучше бы пил
И курил.

Мой друг не пьет и не курит,
Лучше бы пил и курил,
Держал бы дома что-нибудь такое,
Я бы чаще к нему заходил -

Лучше бы пил
И курил. 

Мой босс не пьет и не курит,
Лучше бы пил и курил,
Куда-нибудь засунул свой проклятый немецкий
И по-русски заговорил, -

Лучше бы пил
И курил.

Мой президент не пьет и не курит,
Лучше бы пил и курил,
Возможно, от этого стало бы легче
Женщинам Южных Курил,-

Я не курил
И не пил,
Лучше бы пил
И курил,
Лучше бы пил
И курил..."
"Альтависта, 1999","Терпсихора","Странные игры ведет со мной Терпсихора,
Все время танцует передо мной абсолютно голой,
Танцы в постели, на потолке, на столе,-
Что нас тянет друг к другу столько лет?
Что нас тянет друг к другу столько лет?

Это либидо лежит на дне бензобака,
Об этом знает любая аспирантка филфака,
Терпсихора не в курсе, Терпсихора права,-
Она льет спирт по бокалам из рукава,
Спирт по бокалам из рукава,
Спирт по бокалам из рукава.

Утром в крови будет пять промилле
И бензиновый датчик опять на нуле,
Ничего не случится с той, на кого я смотрю,-
Терпсихора танцует, а я пою,
Терпсихора танцует, а я пою, 
Терпсихора танцует - я пою! 

Ты все танцуешь,
Я все пою,
Ты все танцуешь,
Я все пою,
Терпсихора,"
"Альтависта, 1999","Далеко домой","Здесь-
Там-
Бьют шаманы в барабан,
Там-
Здесь-
Все сойдется,будет ядерная смесь,
Здесь все фильмы задом наперед,
Здесь весною не цветет пейот,
Здесь никто веселых песен не поет -

Далеко домой,
Далеко домой...

Да- 
Нет- 

Ты все узнаешь из газет,
Нет-
Да-
Из газет ты не узнаешь никогда,
Что со мною нет проводника,
До нирваны ровно полглотка,
И мне некому сказать:""Привет!""
И некому сказать:""Пока!"" -

Далеко домой,
Далеко домой...

Здесь-
Там- 
Бьют шаманы в барабан..."
"Альтависта, 1999","Добрых дел мастер","Добрых дел мастер
Сжег stratocaster,
Вышиб стекло рукой,
Он города и страны
Видел на дне стакана,
Добрых дел мастер мой

Добрых дел мастер с похмелья злой
Добрых дел мастер ушел в запой
Добрых дел мастер с похмелья злой
Добрых дел мастер ушел в запой
Добрых дел мастер...

Добрых дел мастер
Прогнал жену Hастю,
Hастя взяла детей,
Он пил неделю с лишним
Так, что весь город слышал,
Как он гонял чертей,

Он мерял одним стаканом
Спирт и марихуану,
Sauz'у и Castrol,
Он выпил всю водку разом,
Выпил текилу с джазом,
Пропил весь рок-н-ролл

Добрых дел мастер с похмелья злой
Добрых дел мастер ушел в запой
Добрых дел мастер с похмелья злой
Добрых дел мастер ушел в запой
Добрых дел мастер...

Добрых дел мастер
Сжег stratocaster,
Вышиб стекло рукой,
Пусть он мрачнее тучи,
Он все равно всех лучше,
Добрых дел мастер мой,
Пусть он мрачнее тучи,
Он все равно всех круче,
Добрых дел мастер мой.

Добрых дел мастер с похмелья злой
Добрых дел мастер ушел в запой
Добрых дел мастер с похмелья злой
Добрых дел мастер ушел в запой
Добрых дел мастер..."
"Альтависта, 1999","Мотоциклетная цепь","Куда держит путь мотоциклетная цепь
Бензиновым пятнам на мокром асфальте смешно
Время летит самолетом вперед
пароходом под лед
паровозом изо рта в рот
Этой ночью ты будешь такой же сладкой как мед
такой же сладкой как мед
такой же сладкой как мед
такой же сладкой как мед...

Из навигационных узлов
Из перерезанных струн
Из растревоженных ульев
Мотоциклетная цепь
Ползет из тени на цвет
И вкус твоих поцелуев"
"Альтависта, 1999","Сумасшедший автобус","Близится ночь,рельсы несут свой груз,
В небе горит порнозвезда,
Сумасшедший автобус идет домой,
Падают города,
Падают города...

Он спрятал глаза,одел капюшон,нажал на ""play"",
Он добавил низов в чей-то последний альбом;
Сумасшедший автобус идет домой,
Просто идет пешком,
Просто идет пешком,
Просто и...

Мне иногда кажется все смешным,
Меня иногда уносит так далеко,
Сумасшедший автобус идет домой,
Дома все кувырком,
Дома все кувырком,
Дома все..."
"Альтависта, 1999","Алкоголь","Мой друг алкоголь точно знает чем дышит Есенин
Мой друг алкоголь искупал Брайна Джонса в бассейне

Алкоголь отпустил меня
Алкоголь не простил меня
Он вернется опять
Горло мне обжигать
Алкоголь, твою мать

Он пустил корни в теле моем, превратился в растение
В среду мы сели за стол , а теперь воскресение

Алкоголь отпустил меня
Алкоголь не простил меня
Он вернется опять
Горло мне обжигать
Алкоголь, твою мать

Кто то смеется в углу или только мне кажется
То, что вчера завязал завтра снова развяжется

Алкоголь отпустил меня
Алкоголь не простил меня
Он вернется опять 
Горло мне обжигать 
Алкоголь, твою мать"
"Альтависта, 1999","Встретимся завтра","Руки как лед
Лед или камень,
Там за окном завертелся чужой вертолет,
Я не знаю,не знаю,не знаю,
Откуда приходит цунами...
Встретимся завтра,
Я что-то скажу,
Белая ночь,темные шторы,
Из вертолета нам машут рукой
За окном.
Я не знаю,не знаю,не знаю,
Как мне расстегнуть твои шорты,
Встретимся завтра,
Встретимся завтра,
Я что-то скажу,
Все,что ты снимешь с себя,
Остается лежать на полу возле кресла,
Встретимся завтра,
Встретимся завтра,
Встретимся...

Колотый лед,
Портер как портер,
Там за окном
Испарился чужой вертолет,
Я не знаю,не знаю,не знаю,
Когда мы сменили piano на forte,
Встретимся завтра,
Встретимся завтра,
Я что-то скажу,
Все,что ты снимешь с себя,
Остается лежать на полу возле кресла,

Встретимся завтра,
Встретимся завтра,
Встретимся завтра,
Встретимся завтра...."
"25-ый кадр, 2001","Гни свою линию","Мы легли на дно
Мы зажгли огни
Во Вселенной только мы одни

Гни свою линию 
Гни свою линию 
Горят огни 
Сверкают звезды 
Все так сложно 
Все так просто 
Мы ушли в открытый Космос
В этом мире больше нечего ловить

А ты гни свою линию 
(горят огни) 
Гни свою линию 
(горят огни) 
Гни свою линию 
Горят огни

Мы легли на дно
Мы зажгли огни
Во Вселенной только мы одни

Гни свою линию
Гни свою линию
Горят огни "
"25-ый кадр, 2001","Звезда рок-н-ролла","Звезда рок-н-ролла должна умереть. Аксиома.
Проснись, дорогая; прости, что не дал досмотреть
Пока ты спала, я тихонько смотался из дома 
Узнать, что есть жизнь и смерть

Любая строка - это шрам на лице, след осколка
Засев в голове, он не даст никому постареть
Пока ты спала звезда рок-н-ролла
Должна умереть
Умереть

Звезда рок-н-ролла должна умереть без прикола.
Три трети пройдя, удалиться в четвертую треть.
Сегодня так ярко светит луна над балконом,
Что больно смотреть 

На эту картину – кухня; пьяный и голый 
Закинувшись всем, от чего только можно балдеть
Звезда рок-н-ролла допивает ром с колой
И должна умереть
Умереть

Звезда рок-н-ролла должна умереть очень скоро
Замьютить свой голос, расплавиться, перегореть
На бешеной коде во время гитарного соло
Взлететь
Разобьется фонарь
В тишине стадиона
Будет долго сирена реветь
От укола
Едва ли он сможет когда-нибудь снова запеть
Потому что звезда рок-н-ролла
Должна умереть
Умереть"
"25-ый кадр, 2001","Всего хорошего","C cегодняшнего дня прошу считать меня недействительным
Весьма сомнительным
Пока пою, проверь свои предохранители
Путеводители
В пути водители
По-моему все врут твои производители все врут
По-моему все врут твои производители

C cегодняшнего дня прошу считать растаможенным
И расторможенным
А если кто не верит мне - всего хорошего
Всего хорошего
Кто помнит прошлое
Всего хорошего тому, кто помнит прошлое
Тому, кто помнит прошлое - тому
Всего хорошего

C cегодняшнего дня прошу считать меня отрицательным
Но привлекательным
Пока пою - протри свои обозреватели
На белом катере
К такой-то матери
По-моему все врут твои рекламодатели
Все врут
По-моему все врут твои рекламодатели

C cегодняшнего дня прошу считать меня расторможенным
И растаможенным
А если кто не верит мне - всего хорошего
Всего хорошего
Кто помнит прошлое
Всего хорошего тому, кто помнит прошлое
Тому, кто помнит прошлое - тому всего хорошего
Всего хорошего
Всего хорошего
Всего хорошего"
"25-ый кадр, 2001","Моё сердце","Мы не знали друг друга до этого лета
Мы болтались по свету - земле и воде
И совершенно случайно мы взяли билеты
На соседние кресла на большой высоте

И мое сердце остановилось
Мое сердце замерло
Мое сердце остановилось
Мое сердце замерло

И ровно тысячу лет мы просыпаемся вместе
Даже если уснули в разных местах
Мы идем ставить кофе под Элвиса Пресли
Кофе сбежал про Propellerheads, ах

И мое сердце остановилось
Мое сердце замерло
Мое сердце остановилось
Мое сердце замерло

И может быть ты не стала звездой в Голливуде
Не выходишь на подиум в нижнем белье
У тебя не берут автографы люди
И поешь ты чуть тише, чем Монсеррат Кабалье

Ну так и я, слава Богу, ни Рики ни Мартин
Не выдвигался на Оскар, французам не забивал
Моим именем не назван город на карте,
Но задернуты шторы и разложен диван

И мое сердце остановилось
Мое сердце замерло
Мое сердце остановилось
Мое сердце замерло

Я наяву вижу то, что многим даже не снилось
Не являлось под кайфом,
Не стучало в стекло
Мое сердце остановилось
Отдышалось немного
И снова пошло

Мое сердце остановилось
Мое сердце замерло
Мое сердце остановилось
Мое сердце замерло

И мое сердце astalavista
Мое сердце замерло
И мое сердце остановилось
Мое сердце замерло "
"25-ый кадр, 2001","Рики-Тики-Тави","Рики-тики
Рики-тики-тави
На пороге
Нас оставит

На пороге не прокатит
Он глядит из-под кровати
На сегодня видно хватит

Ты сказала:
""Рики-Тики-Тави сдулся.
Что он видел? Чем он думал?""
Что ты мелешь, кофемолка?
Он сбежал из книжной полки
Он кричит из-под обломков

Рики-тики
Рики-Тики-Тави
Никогда нас
Не оставит

Отключите все электрокофемолки
Я сбежал из книжной полки
Я кричу из-под обломков

Рики-Тики
Рики-Тики-Тави
Рики-Тики
Рики-Тики-Тави
Тави."
"25-ый кадр, 2001","SOS!","Людям и городам
От земли и до звезд
По горячим губам
SOS!

Перекошенный взгляд
Перекрашенный мозг
Всем частотам подряд
SOS!

Все останется нам
Все отправится в рост
По горячим губам
SOS!"
"25-ый кадр, 2001","Феллини","В одном из неснятых фильмов Федерико Феллини
На тоненькой льдине в бокале мартини

Герой на героине героиня на героине
И двойная сплошная пролегла между ними

Между ними секунду назад было жарко
А теперь между ними лежат снега Килиманджаро

Патроны в магазине глазами на ""визине""
И отравленный воздух глотают так жадно

Зря ты думаешь о смерти
Я хочу найти письмо в пустом конверте
И прочесть тебе

Зря ты думаешь о смерти
Я хочу найти письмо в пустом конверте
И прочесть тебе

Зря ты думаешь о смерти
Я хочу найти письмо в пустом конверте
И прочесть тебе"
"25-ый кадр, 2001","Остаёмся зимовать","Километры
Превратятся в прошествии лет
В киноленты,
Что лежат на монтажном столе,
Континенты
Будут им рукоплескать

До восхода
Лишь Земля обернется опять

Кислорода
Хватит всем кто умеет дышать.
Год от года
Остаемся зимовать
Остаемся зимовать
Остаемся зимовать
Вода замерзла - перебьемся

И с приветом
И спасибо всем тем, кто мигал
Дальним светом
Принимая ответный сигнал
Этим летом
И так любит рисковать

Ртуть упала
И листва за окном шелестеть перестала
И вдвоем под одним шерстяным одеялом
Остаемся зимовать
Остаемся зимовать
Остаемся зимовать
Вода замерзла - перебьемся
Зимовать
Зимовать
Зимовать

Океанам
С головой уходящим в песок

Караваном
Никогда не прочесть этих строк –

Даже странно
Я не знаю, что сказать

Очень скоро
Мы исчезнем с экранов цветных мониторов
Из подъезда увозят кого-то на ""скорой""

Остаемся рисковать
Остаемся рисковать
Остаемся рисковать
Вода замерзла - перебьемся
Зимовать
Зимовать
Зимовать

Не спать!
Не спать!
Не спать!
Не спать!

КУПИТЬ
"
"25-ый кадр, 2001","Тебе это снится","Едва-едва проснулся,
Е-2 - Е-4 - сделал ход,
Осталось дописать строку.

Но кончился твой энерджайзер, кончился,
Мимо идет мужик, от смеха корчится,
Ты видишь исключительно усмешки на лицах,
И вдруг понимаешь, что тебе это снится.

Ты проснулся, умылся, побрился, отжался,
Наступил на кота, с женой поругался,
Помирился с женой, поругался с дорожной полицией,
И вдруг обнаружил, что тебе это снится.

Ты идешь на работу, уходишь с работы,
Постепенно забывая, откуда и кто ты,
Постоянно забывая, откуда и кто ты,
Навсегда забывая, что тебе это снится.
Тебе это снится...

Тебе снится рыбак у коралловых рифов,
Неизвестный герой древнегреческих мифов,
Молекулярная физика, энергия атома,
Обнаженная женщина, киллер с лопатой,
Новогодняя елка, орбитальная станция,
Мыльница с музыкой, радио c танцами,
Машинное масло, мобильные соты,
Запорожец наконец обогнал 600-ый,
Тебе снится Тибет (где-то) за облаками,
Лондонский клуб, coffee-shop в Амстердаме,
Японская кухня, 22ая уловка,
Ракетоноситель с ядерной боеголовкой,
Пещера, полная алмазов, рубинов,
Ты самый желанный, (ты) самый любимый,
Твой портрет в желтой прессе на первой странице,
И ты понимаешь (, что) - тебе это снится,
Тебе это снится...

Если где-то есть Бог, он от нас далеко,
Он рождественской пулей ушел в молоко,
Ты сам достигнешь того, к чему здесь каждый стремится, -
И вдруг обнаружишь улыбки на лицах,
И твой энерджайзер - он снова начнется,
И мужик проходящий опять засмеется,
И не будет проблем ни с женой, ни с полицией,
И ты понимаешь(, что) - тебе это снится,
Тебе это снится,
Тебе это снится.
И мне это снится,
Тебе это снится,
Нам всем это снится..."
"25-ый кадр, 2001","Совсем другой","Льются отвертки
В глубокие глотки
Разноцветные лампы
Хрустят под ногой

Он пойдет проводить
Тебя до остановки
Ты вернешься домой завтра утром
Совсем другой

Он расскажет тебе,
что нельзя, а что можно
Если только ты знаешь,
что такое нельзя

Остановиться уже невозможно
Ты вернешься домой
Обнаружишь себя

Совсем другой
Совсем другой
Совсем другой
Другой
Другой

В этой истории пора ставить точку
Но в дверях, изогнувшись трамвайной дугой,
Сумасшедшая мама грызет свою дочку,
За то что явилась под утро 
Совсем другой

Значит все наяву, ничего не приснилось,
Странная жизнь на гране зла и добра
В этом мире хоть что-то наконец изменилось -
Ты явилась домой не такой как вчера
А совсем другой
Совсем другой
Совсем другой"
"25-ый кадр, 2001","Пластмассовая жизнь","Убей меня
Внезапно гаснет свет
Нервно курит балерина
В пачке сигарет
Солнце светит мимо кассы
Прошлогодний снег еще лежит
Все на свете из пластмассы
И вокруг пластмассовая жизнь

Тянутся хвосты

Миллиарды звезд сошли на нет
С тех пор как мы с тобой на ты

И дело вовсе не в примете
Только мертвый не боится смерти
Вдоль дорог расставлены посты

Возьми меня с собой

Беспощадно в небе светит солнце у тебя над головой

И снова мимо кассы
Тень забилась в угол и дрожит
Все на свете из пластмассы
И вокруг пластмассовая жизнь

Тянутся хвосты

Убей меня
За то, что я давно к тебе остыл…"
"25-ый кадр, 2001","Пой мне ещё","Пой мне еще 
Тихо
В обратную сторону крутится магнитофон
В доме темно
Шорохи, скрипы
Сводят с ума

Кончился день
Не имеют значения цифры
На лепестки рассыпался мак

Пой мне еще
Рано
Заветную карту вытаскивать из

Рукава. Чайник кипит
Капля из крана
Медленно-медленно-медленно
Падает вниз

Голос дрожит
Хлопнула дверь - это ветер
Держась за края
До размеров Вселенной
Сужая зрачки
На рубеже этих сумрачных тысячелетий
По горло в воде
На дрейфующей льдине ждут рыбаки

Ну так и пой мне еще
Что я могу изменить,
направляемый собственной тенью,
давным-давно предупрежденный о том,
что начиная обратный отсчет
любой, имеющий в доме ружье,
приравнивается к Курту Кобейну
любой, умеющий читать между строк,
обречен иметь в доме ружье

Пой мне еще
Я просто знаю
Что в последний момент,
Когда тебе никто не поверит
Прохожий на остановке возьмет
И укроет тебя под плащом
Дома задрожат при появлении трамвая
И когда откроются двери -
Пой мне еще
Пой мне еще"
"25-ый кадр, 2001","Ленинград - Amsterdam","Здесь на земле ярки краски и звучны аккорды
Прямо на площади высится башенный кран
В башне сидит крановщица с улыбкой Джоконды
В небе летит самолет ""Ленинград-Амстердам""

Бабушка вяжет носки непутевому внуку
Папа с работы картошки несет килограмм
Внук догрызает гранит, проклиная науку,
В небе летит самолет ""Ленинград-Амстердам""

На глубине десять тысяч сомнительных метров
Над тем, кто забыл пристегнуться, колдуют врачи
Если ты знаешь чьи-то секреты -
Молчи

Люди смеются, приветливо машут руками
Быстро танцуют, потом поднимают сто грамм
Там возле яркого солнца, сверкая крылами
В небе летит самолет ""Ленинград-Амстердам""

Жизнь представляется мне заводной каруселью
Что будет крутиться, пока кто-то дернет стоп-кран
Там, за июльским дождем, за февральской метелью
В небе летит самолет ""Ленинград-Амстердам"""
"Новые люди, 2003","Новые люди","Замер троллейбус в троллейбусном парке
Перепутал механик провода по запарке
Выключив лампочки в 40 электросвечей
Люди ночами делают новых людей

Такие тонкие стены из цветного картона
В светло-серых дворцах из стекла и бетона
Доверяя всему что плетут из дневных новостей
Люди ночами делают новых людей

Люди кричат, задыхаясь от счастья
И стонут так сладко и дышат так часто
Что хочется двигаться с каждой секундой быстрей
Делая, делая, делая новых людей

Думают люди в Ленинграде и Риме
Что смерть – это то, что бывает с другими*
Что жизнь так и будет крутить и крутить колесо
Слышишь – на кухне замерли стрелки часов

Но ничего-ничего, погрустит и забудет
Через время появятся новые люди
Едут троллейбусы без габаритных огней
Люди ночами делают новых людей

Люди кричат, задыхаясь от счастья
И стонут так сладко и дышат так часто
Что хочется двигаться с каждой секундой быстрей
Делая, делая, делая новых людей

Людям так нравится делать новых людей 
"
"Новые люди, 2003","Время, назад!","Время, назад !
Все разделилось вокруг на чужое и наше.
Бросив на разные чаши
Против и за,
В календаре преднамеренно спутались числа.
В том, что все это случилось -
Я не со зла.
Карты легли на такую наклонную плоскость,
Что мне удержаться непросто
На тормозах.

Это все, что мы сделали здесь друг для друга.
Все пытаясь уйти навсегда из проклятого круга.
Мне кажется, я …

Крутится ось.
Шар неподвижно висит на просторах Вселенной,
Весь перевязанный лентой.
Вместе и врозь
Люди стремятся попасть в вожделенную Вену;
Большое спасибо Рентгену – 
Видно насквозь,
Как кто-то летает кругами над детской площадкой,
Весь начиненный взрывчаткой.
Жить сорвалось.

Это все, что мы сделали здесь друг для друга.
Все пытаясь уйти навсегда из проклятого круга.
Мне кажется, я …

Все это ложь
Что-то случилось, но нам ничего не сказали
Женщину в зрительном в зале
Бросило в дрожь.
Книга открыта на самой последней странице.
Сколько все это продлится ?
Целый день дождь.
В воздухе тают осколки разбитой посуды.
Тянутся долго и долго секунды.
Тянутся долго и долго секунды.
Тянутся долго секунды. 
Ты меня ждешь."
"Новые люди, 2003","Гандбол","Спину ломит, голова болит
То ли клещ засел энцефалит
В голове болит последний зуб
Мы болеем за один и тот же клуб

Чуть курнул и сразу бледный вид
Чуть немного выпил - так тошнит
Чуть пошел работать - сразу труп
Мы болеем за один и тот же клуб

Словом
Мы все больны гандболом
Мы все больны гандболом
И за гандбол умрем

Знай, мой друг, ты мой эквивалент
Может, клей понюхаем «Момент»
Будем нюхать, сколько захотим
Ведь мы болеем за один и тот же team

А когда последний наш умрет
Закопайте прямо у ворот
На поминках разогрейте суп
Ведь мы болели за один и тот же клуб

Словом
Мы все больны гандболом
Мы все больны гандболом
И за гандбол умрем

Гандбол
Гандбол
Гандбол"
"Новые люди, 2003","Сломано всё","Сколько пройдено верст
Сколько пройдено верст
Сломано все
Разрушено все
Сломано все

Тихо падать в песок
С криком идти сквозь песок
Сломано все
Разрушено все
Сломано все

Сколько выпало звезд
Сколько выпало звезд
Выпало звезд

Бог мой это лишь сон
Бог мой какой страшный сон
Сломано все
Разрушено все
Сломано все"
"Новые люди, 2003","Девятиэтажный дом","Тихо
Следуя древним инстинктам
Плавно взлетает в небо
Дом девяти этажей
Дом девяти этажей
Дом девяти этажей

Протри глаза – наш дом летит
Теперь нам ничего не страшно
И драг дилер никогда 
Нам не подсунет эту лажу
И телевизор отключился –
Не реагирует, совсем пропал
Из газовой плиты
Выходит радостный пропан-бутан
И перед тем, как ты родишься
А я проснусь
Смотри, как медленно, красиво
Летит
Девятиэтажный Дом
Девятиэтажный Дом
Девятиэтажный Дом"
